FID,AreaServed,ID,COMPANY,Acronym,CoType,AreaType,WARNINGS,Shape__Area,Shape__Length
1,Hafren Dyfrdwy,8,Hafren Dyfrdwy,HDD,regional water and sewerage company,Whole water supply area, ,2854802700.66678,521082.591184918
2,Severn Trent,15,Severn Trent Water,SVE,regional water and sewerage company,Part of water supply area, ,17507096742.7535,1803302.74679651
3,Wessex,35,Wessex Water,WSX,regional water and sewerage company,Whole water supply area, ,7345820238.97378,1110354.4154324
4,Medway,27,Southern Water,SRN,regional water and sewerage company,Part of water supply area, ,451947707.035866,568880.124864193
5,Bristol,6,South West Water,SWB,regional water only company,Whole water supply area, ,2391188450.3462,438539.718201126
6,Guildford,31,Thames Water,TMS,regional water and sewerage company,Part of water supply area, ,371429340.15435,119249.97568103
7,Suffolk,11,Northumbrian Water,NES,regional water and sewerage company,Part of water supply area, ,1345943150.09052,360560.142882985
8,Tendring Hundred (Brett),2,Affinity Water,AFW,regional water only company,Part of water supply area, ,352091485.879913,501691.359679689
9,Kent & Sussex,16,South East Water,SEW,regional water only company,Part of water supply area, ,4074776705.90952,573294.428048744
10,Folkestone (Dour),1,Affinity Water,AFW,regional water only company,Part of water supply area, ,412285590.623535,184191.912622317
11,Hampshire,24,Southern Water,SRN,regional water and sewerage company,Part of water supply area, ,1717774945.52359,436579.776541219
12,Cambridge,18,South Staffordshire Water,SSC,regional water only company,Part of water supply area, ,1172206250.72185,303092.745161732
13,Isle of Wight,26,Southern Water,SRN,regional water and sewerage company,Part of water supply area, ,380213048.135788,175666.802127215
14,Hastings,25,Southern Water,SRN,regional water and sewerage company,Part of water supply area, ,160988071.8424,89965.7813693626
15,Southern,17,South East Water,SEW,regional water only company,Part of water supply area, ,1487234323.52577,289048.940707385
16,Yorkshire,36,Yorkshire Water,YKY,regional water and sewerage company,Whole water supply area, ,14311804738.5591,898885.186353834
17,Portsmouth,13,Portsmouth Water,PRT,regional water only company,Whole water supply area, ,863694725.648556,472814.063323913
18,Three Valleys,3,Affinity Water,AFW,regional water only company,Part of water supply area, ,3716141007.78786,631082.174080379
19,Fawley,21,South West Water,SWB,regional water and sewerage company,Part of water supply area, ,10021823.986908,91761.084188098
20,South West,23,South West Water,SWB,regional water and sewerage company,Part of water supply area, ,10301984693.1339,1755577.56788683
21,United Utilities,34,United Utilities,UUW,regional water and sewerage company,Whole water supply area, ,14094987707.8403,2225608.51060425
22,Thanet,29,Southern Water,SRN,regional water and sewerage company,Part of water supply area, ,342524376.925903,149564.920527456
23,DÅµr Cymru,7,DÅµr Cymru,WSH,regional water and sewerage company,Whole water supply area, ,20139522181.7722,2796532.71219961
24,Isles of Scilly,22,South West Water,SWB,regional water and sewerage company,Part of water supply area, ,16354639.7008839,112412.833454428
25,Bournemouth,20,South West Water,SWB,regional water and sewerage company,Part of water supply area, ,1046470103.06179,314084.360506274
26,Essex,9,Northumbrian Water,NES,regional water and sewerage company,Part of water supply area, ,1536164815.53026,999245.931382406
27,Sussex,28,Southern Water,SRN,regional water and sewerage company,Part of water supply area, ,1298216782.68294,348345.912406183
28,Veolia,209,Veolia Water Projects Ltd,VWS,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,27650405.1777649,26624.1201726687
29,Anglian,4,Anglian Water,ANH,regional water and sewerage company,Part of water supply area, ,22593880928.602,3174416.15323593
30,Hartlepool,5,Anglian Water,ANH,regional water and sewerage company,Part of water supply area, ,89409411.4729156,82365.3034605275
31,Northumbria,10,Northumbrian Water,NES,regional water and sewerage company,Part of water supply area, ,8874970745.09108,935460.879811907
32,South Staffordshire,19,South Staffordshire Water,SSC,regional water only company,Part of water supply area, ,1496916578.19761,431088.963075587
33,Chester,14,Severn Trent Water,SVE,regional water and sewerage company,Part of water supply area, ,174976192.089073,90149.3364815005
34,SWOX plus,33,Thames Water,TMS,regional water and sewerage company,Part of water supply area, ,6209472326.12528,757223.281641293
35,Sutton & East Surrey,30,SES Water,SES,regional water only company,Whole water supply area, ,837221564.657135,198056.686767214
36,London,32,Thames Water,TMS,regional water and sewerage company,Part of water supply area, ,1421281923.95797,372513.184035645
37,"Croston Road (Phase 1 and 2), Leyland",263,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,179137.332122803,2226.2149762826
38,"Firbeck Colliery, Worksop",275,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,124741.594390869,2069.71394117984
39,Hatfield Lane,300,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,344367.083236694,3414.89569936466
40,"Newcomen Way (Phase 2), Telford",345,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,8278.75076293945,441.245505944305
41,"Rockferry, Woodhey",371,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,44303.5750350952,875.72666705833
42,"Sovereign Fold Road, Leigh",380,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,27264.3929443359,846.775634046499
43,"Topcliffe Road, Sowerby",401,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,48599.3493652344,966.819961354791
44,Westwood Thanet Boundary Variation,417,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,3379.9654006958,235.791536739414
45,"Wheatley Hall Road, Doncaster",421,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,56816.7843170166,1085.63023858225
46,"Yardley Road, Milton Keynes",433,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,354409.923316956,2787.77403751418
47,"CITU, Climate Innovation District Phase 2, Leeds",254,Leep Networks (Water) Ltd,LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,16083.9082183838,514.431406525406
48,Liverpool John Lennon Airport,323,Leep Networks (Water) Ltd,LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,2045011.3459549,9698.0740272839
49,"Former Horwich Locomotive Works, Bolton",282,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,159923.508804321,2219.26015127012
50,"Appletree Farm, Cressing",215,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,52685.6720352173,1058.53719271194
51,"Broad Oak Farm, Sturry",236,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,183465.618583679,2771.15916961264
52,"Cedars Park 3C, Stowmarket",249,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,27050.2013702393,758.207736708029
53,"Eastrea Road, Whittlesey",269,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,46909.2838897705,1034.03972620168
54,"Foxby Lane, Gainsborough",284,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,192259.98324585,2387.98122141714
55,"Land at Camp Field, Havant",316,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,23003.4782791138,952.869486564522
56,"Land West of Bedford Road, Lower Stondon",321,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,30745.1374893188,724.282951457757
57,"Little Tufts, Ipswich",322,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,50545.2464599609,956.671717662887
58,"Manor Farm, Bedhampton",332,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,36340.927116394,790.39859761525
59,"Merlins Point, Witham St Hughs",336,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,62153.3938446045,1142.86867726628
60,"Newark Road, Peterborough",344,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,23150.2933197021,652.948378296924
61,"Nightingale Road, Derby",347,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,83530.6193389893,1339.42576617777
62,"Rawcliffe Road, Goole",366,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,159682.948074341,1789.08452233963
63,"Shepherd's Lane, Shrewsbury",374,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,132332.383476257,1658.8058904795
64,"Comeytrowe, Taunton",258,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,1170558.05012894,9047.31103189247
65,"Ashton Road, Oundle",218,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,44678.5375213623,1111.45675215249
66,"Barnfield Avenue, Luton",221,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,53077.7730865479,1255.5212684785
67,"Beckhill Approach, Meanwood",224,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,54385.6546783447,1018.21357818304
68,"Bedford Road, Lower Stondon",225,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,60583.5541610718,1020.65329236947
69,"Bromham Road, Bedford",239,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,127309.477989197,1969.45986132726
70,"Cocoa East, York",257,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,16054.9385375977,589.796660681321
71,"Ellison Fold Way, Darwen",271,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,175332.813430786,2305.6276784345
72,"Graze Hill, Ravensden",292,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,177373.058616638,1742.42607449442
73,"Grovelands Way, Warminster",294,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,105586.16059494,1694.51832169467
74,"High Street, Walton, Felixstowe",305,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,134474.426864624,1876.41980555711
75,"Land off Nursery Lane, South Wootton",319,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,58218.230255127,1101.56712890777
76,"Land East of Eastboro Way, Nuneaton",318,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,152160.965675354,2021.63687644342
77,"Longholme Road, Retford",327,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,28400.0218658447,682.891782776677
78,"Nine Elms Park, Wandsworth",348,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,20411.5876312256,718.767844813401
79,"Poplar Riverside, London",362,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,14475.7240905762,476.888672095024
80,"Thames Avenue, Leigh",396,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,22722.7799224854,664.487367065886
81,"Wardentree Lane, Pinchbeck",408,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,39569.0253753662,902.405071159523
82,"Wateringbury Way, Eastbourne",410,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,10121.6557044983,413.00407298363
83,"West Benton, Benton",413,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,311355.08531189,3591.87634836721
84,"Market Quarter, Rugby",335,Leep Networks (Water) Ltd,LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,18803.8944625854,697.471632691452
85,"The White Ox, Penrith",399,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,24009.3218841553,688.034229935373
86,"Tudor Nurseries, Goffs Oak",403,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,147662.497840881,1895.50655334846
87,"Upper Warren, Hartlepool",405,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,279189.684432983,2383.92067986527
88,"Walkeringham Road, Beckingham",407,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,11978.8999938965,480.474133533468
89,"Warton Fylde, Preston",409,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,123211.670333862,1865.472664569
90,"Welbeck Road, Bolsover",411,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,84744.3773956299,1588.28956742371
91,"Wentworth Way, Sheffield",412,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,49673.1921386719,999.87645018598
92,"West Bridgewater Street, Leigh",414,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,48213.8394165039,1802.43130246608
93,"Wey Valley, Nottington Lane",419,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,146240.07440567,1706.73520522339
94,"Wharton Bridge, Winsford",420,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,47034.0777282715,918.710795536265
95,"Whitefield Drive, Kirkby",422,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,64677.2432785034,1096.86217457261
96,"Whittingham Lane, Preston",424,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,29611.761138916,895.370168149663
97,"Windy Arbor Road, Prescot",427,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,149155.179298401,2082.37732057726
98,"Wynyard (Phase 2), Billingham",431,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,97715.6858215332,2251.83215595449
99,"Wyvern Park, Skipton",432,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,77616.5706787109,1759.43505727139
100,"Barton Farm, (Phase 2a), Winchester",222,Leep Networks (Water) Ltd,LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,85101.0263938904,1372.65730927476
101,"Former Edinburgh Park Docker's Club, Liverpool",280,Leep Networks (Water) Ltd,LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,49637.5206222534,955.772300055475
102,"Hallgate Lane, Pilsley",296,Leep Networks (Water) Ltd,LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,28393.6679077148,768.266411923839
103,"Whitehouse Farm, Emersons Green",423,Leep Networks (Water) Ltd,LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,25981.2597122192,743.919362890516
104,"Cadley Hill, Walsall",243,South Staffordshire Water,SSC,regional water only company,inset, ,81272.3661956787,1524.86050884747
105,"Ladden Garden Village Parcels 4,5,7 (Water)",313,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,354954.079711914,4708.59828544491
106,"Cordy Lane, Brinsley",261,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,44711.9107055664,1172.58660572526
107,"Abbey Gardens, Shaftesbury",213,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,67972.2011795044,1139.46088182151
108,"Alton Brewery, Alton",214,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,47277.0900268555,1022.76662451184
109,"Ashford Road, Hamstreet",216,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,82368.2320022583,1215.43961610421
110,"Ashridge Farm, Wokingham",217,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,87284.3378372192,1438.03916117196
111,"Basingstoke Golf Course, Basingstoke",223,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,444051.094978333,2962.45665249009
112,"Belle Vue Greyhound Track, Manchester",226,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,47335.6863861084,870.894980399808
113,"Blackburn Farm, Durham",228,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,42184.6794433594,1041.5563616384
114,"Blackpool Road, Preston",229,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,95504.3014373779,1294.87344184647
115,"Blakeston Lane (Boundary variation), Stockton-On-Tees",230,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,2160.34161376953,188.853146257484
116,"Bosworth Lane, Leicester",231,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,38268.8861846924,927.633970552238
117,"Brinsford Lodge, Wolverhampton",235,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,50696.8537063599,891.059256215557
118,"Buckenham Road, Breckland",241,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,52604.0820770264,1089.24733476862
119,"Burtree Lane, Harrowgate Village",242,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,171668.239639282,2116.82220455206
120,"Candlet Road, Felixstowe",245,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,311220.795425415,2992.04622883278
121,"Chesterfield Road, Brimington",251,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,65549.5513916016,1276.03122800049
122,"Church Road, Otham",252,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,153270.209236145,2196.10472071559
123,"Clifton Green, Salford",255,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,7207.78807067871,382.709597512813
124,"Coney Green Road, Clay Cross",259,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,24143.1529541016,776.276440800368
125,"Cranford Lodge, Manchester",262,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,25033.1644439697,839.406092944572
126,"Dysart Road, Grantham",267,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,61801.6660614014,1280.79244854439
127,"Eakring Road, Bilsthorpe",268,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,40585.1161193848,885.930635980927
128,"Elsea Park (Zone 7), Bourne",273,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,50899.2683258057,1334.26741534383
129,Elsea Park (Boundary amendment),272,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,67926.4351959229,1074.15418100664
130,"Firs Road, Aldbury, Salisbury",276,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,20403.5096168518,1371.04740751099
131,"Fontwell Avenue, Eastergate",279,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,14165.0049819946,502.515251429435
132,"Former Foxwood School, Warrington",281,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,13020.018447876,441.015320051174
133,"Foxdenton 2, Oldham",285,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,54983.2242889404,1528.59822362173
134,"Goscote Lane, Walsall (Water)",289,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,87306.4652709961,1219.30240241523
135,"Granby Farm, Harrogate",290,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,38893.3228302002,1013.90059494387
136,"Greenhill Road (West), Canterbury",293,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,217365.495857239,2641.40862513903
137,"Halton Court, Runcorn",297,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,28403.1443862915,914.29492303924
138,"Hampshire Road, Walton-Le-Dale",298,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,13879.0525817871,506.423643212881
139,"Helliers Lane, Cheddar",301,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,23653.8341674805,737.508892095138
140,"Hesleden Road, County Durham",304,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,38682.4531555176,830.583099051835
141,"Holts Lane, Poulton-Le-Fylde",307,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,43427.7437286377,957.524970309002
142,"Kettering Road, Market Harborough",308,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,356964.33506012,2824.5222494909
143,"Keyfold Farm, Preston",309,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,60323.1632995605,1280.93277686671
144,"Kings Langley, Kings Meadow",310,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,15856.0616989136,646.341241519746
145,"Kirby Lane, Melton Mowbray",312,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,72648.522354126,1157.20261661461
146,"Lock Lane, Manchester",324,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,168734.332962036,3631.18943230441
147,"London Road (Phase 1), Yaxley",325,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,753820.825942993,5126.44595844324
148,"Loraine Way, Bramford",328,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,128707.509307861,1660.00455791685
149,"Low Grange Farm, Middlesbrough",329,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,331842.300491333,3155.0860931104
150,"Low Moor Side, Leeds",330,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,54159.560043335,1429.35393374161
151,"Manor Farm (Phase 2, 3, 4 & 5), Doncaster",331,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,388521.547546387,2845.77061230862
152,"Manor Road, Selsey",333,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,71451.6066703796,1054.3635011481
153,"Middle Deepdale, Scarborough",337,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,336990.548919678,3246.91009615018
154,"Mill Lane, Elswick",338,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,46838.5484161377,903.947895439811
155,"Moss House Road, Blackpool",339,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,39263.8007354736,1150.23877909893
156,"Mount Pleasant, London",340,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,10795.9961853027,440.876474728794
157,"Mount Vernon Road, Barnsley",341,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,13101.5960540771,552.553170665531
158,"New Lane, Blidworth",343,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,29965.4711151123,767.587087675505
159,"Newcomen Way, Telford",346,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,33832.5017700195,1096.46740960304
160,"Norwich Road, Swaffham",350,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,68076.2576141357,1065.84496985761
161,"Oldwood Road, Tenbury Wells",351,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,39542.4985733032,1181.40703122145
162,"Omega 3b, Warrington",352,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,48172.0731658936,990.67300120029
163,"Orchard Close, Knaresborough",354,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,23815.0454559326,671.212513949744
164,"Oxford North (Phase 1A-C), Wolvercote",356,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,120265.031303406,3414.10746092306
165,"Pebble Walk, Hayling Island",358,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,54232.4171638489,1238.7624992233
166,"Pit Lane, Micklefield",359,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,38371.627243042,901.301235346857
167,"Plaistow Road, Kirdford",360,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,26410.5538825989,663.098153282461
168,"Poorhole Lane, Broadstairs",361,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,61738.6494064331,1113.46575591013
169,"Portfield Quarry, Chichester",364,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,20004.5284843445,752.673000980486
170,"Port Loop (Phases 3 and 4), Birmingham",363,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,32917.5326385498,934.790309136124
171,"River View, Witham",369,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,49314.333984375,1356.99129359605
172,"Rugby Radio Station, Rugby",373,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,49280.392791748,872.788389068675
173,"Soham Road, Fordham",375,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,21423.8338775635,761.93598965622
174,"Southampton Road, Titchfield",379,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,38078.2507705688,756.98526707729
175,"Southfield Lane, Tockwith",378,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,57409.1806182861,1037.04827857889
176,"Stainburn, Workington",383,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,45228.7372436523,1037.10792233779
177,"Station Road, Pershore",389,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,202361.16179657,2252.45252705713
178,"Station Road, Darley Dale",385,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,30151.0097198486,1112.3203831136
179,Stewartby Phase 5 Boundary Variation,390,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,16653.7947845459,889.009825068818
